Title,Link,Year,Rating_Classification,Total_Ratings,Critic_Score,Audience_Score,Genre,Director,Runtime
The Maltese Falcon,https://www.rottentomatoes.com/m/1013139-maltese_falcon,1941,Not Rated,50000,99,91,Crime,John Huston,100
It Happened One Night,https://www.rottentomatoes.com/m/it_happened_one_night,1934,Not Rated,25000,98,93,Romance,Frank Capra,105
The Wages of Fear,https://www.rottentomatoes.com/m/wages_of_fear,1955,Not Rated,5000,100,94,Mystery & Thriller,Henri-Georges Clouzot,156
North by Northwest,https://www.rottentomatoes.com/m/north_by_northwest,1959,Not Rated,50000,97,94,Mystery & Thriller,Alfred Hitchcock,136
Bicycle Thieves,https://www.rottentomatoes.com/m/bicycle_thieves,1948,Not Rated,25000,99,94,Drama,Vittorio De Sica,90
Alien,https://www.rottentomatoes.com/m/alien,1979,R,250000,93,94,Sci-Fi,Ridley Scott,117
Argo,https://www.rottentomatoes.com/m/argo_2012,2012,R,100000,96,90,History,Ben Affleck,120
Get Out,https://www.rottentomatoes.com/m/get_out,2017,R,50000,98,86,Horror,Jordan Peele,104
The Kid,https://www.rottentomatoes.com/m/1052609-kid,1921,Not Rated,10000,100,95,Comedy,Charlie Chaplin,60
Mission: Impossible - Dead Reckoning Part One,https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one,2023,PG-13,5000,96,94,Action,Christopher McQuarrie,163
The Pianist,https://www.rottentomatoes.com/m/pianist,2002,R,250000,95,96,History,Roman Polanski,148
Kind Hearts and Coronets,https://www.rottentomatoes.com/m/kind_hearts_and_coronets,1950,Not Rated,5000,100,93,Comedy,Robert Hamer,104
The 400 Blows,https://www.rottentomatoes.com/m/400_blows,1959,Not Rated,25000,99,94,Crime,François Truffaut,93
Grave of the Fireflies,https://www.rottentomatoes.com/m/grave_of_the_fireflies,1988,Not Rated,50000,100,95,Drama,Isao Takahata,88
The Big Sick,https://www.rottentomatoes.com/m/the_big_sick,2017,R,25000,98,88,Romance,Michael Showalter,120
Minari,https://www.rottentomatoes.com/m/minari,2021,PG-13,1000,98,87,Drama,Lee Isaac Chung,115
Portrait of a Lady on Fire,https://www.rottentomatoes.com/m/portrait_of_a_lady_on_fire,2019,R,250,97,92,History,Céline Sciamma,121
The Treasure of the Sierra Madre,https://www.rottentomatoes.com/m/treasure_of_the_sierra_madre,1948,Not Rated,25000,100,93,Adventure,John Huston,124
Apocalypse Now,https://www.rottentomatoes.com/m/apocalypse_now,1979,R,250000,90,94,War,Francis Ford Coppola,147
Mission: Impossible - Fallout,https://www.rottentomatoes.com/m/mission_impossible_fallout,2018,PG-13,10000,98,88,Action,Christopher McQuarrie,147
The Last Picture Show,https://www.rottentomatoes.com/m/last_picture_show,1971,R,10000,98,89,Drama,Peter Bogdanovich,118
Tampopo,https://www.rottentomatoes.com/m/tampopo,1986,Not Rated,5000,100,93,Comedy,Juzo Itami,114
Mad Max: Fury Road,https://www.rottentomatoes.com/m/mad_max_fury_road,2015,R,100000,97,86,Action,George Miller,120
Tokyo Story,https://www.rottentomatoes.com/m/tokyo_story,1953,Not Rated,10000,100,93,Drama,Yasujirô Ozu,134
A Hard Day's Night,https://www.rottentomatoes.com/m/beatles_a_hard_days_night,1964,G,50000,98,89,Musical,Richard Lester,83
Metropolis,https://www.rottentomatoes.com/m/metropolis,1927,Not Rated,50000,97,92,Sci-Fi,Fritz Lang,123
Good Will Hunting,https://www.rottentomatoes.com/m/good_will_hunting,1998,R,250000,97,94,Drama,Gus Van Sant,126
The Gold Rush,https://www.rottentomatoes.com/m/the_gold_rush,1925,Not Rated,10000,100,93,Comedy,Charlie Chaplin,82
Aliens,https://www.rottentomatoes.com/m/1000617-aliens,1986,R,250000,94,94,Sci-Fi,James Cameron,137
Spider-Man: Across the Spider-Verse,https://www.rottentomatoes.com/m/spider_man_across_the_spider_verse,2023,PG,10000,95,94,Kids & Family,Joaquim Dos Santos,140
"The Good, the Bad and the Ugly",https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly,1967,R,100000,97,97,Western,Sergio Leone,161
Harry Potter and the Deathly Hallows: Part 2,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2,2011,PG-13,250000,96,89,Fantasy,David Yates,131
The Silence of the Lambs,https://www.rottentomatoes.com/m/silence_of_the_lambs,1991,R,250000,95,95,Mystery & Thriller,Jonathan Demme,119
Fanny and Alexander,https://www.rottentomatoes.com/m/fanny_and_alexander,1983,R,10000,100,94,Drama,Ingmar Bergman,188
Laura,https://www.rottentomatoes.com/m/1012007-laura,1944,Not Rated,10000,100,90,Mystery & Thriller,Otto Preminger,88
The Shop Around the Corner,https://www.rottentomatoes.com/m/shop_around_the_corner,1940,Not Rated,10000,99,91,Romance,Ernst Lubitsch,97
His Girl Friday,https://www.rottentomatoes.com/m/his_girl_friday,1940,Not Rated,10000,99,90,Comedy,Howard Hawks,92
All Quiet on the Western Front,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front,1930,Not Rated,10000,98,89,War,Lewis Milestone,105
"Monsters, Inc.",https://www.rottentomatoes.com/m/monsters_inc,2001,G,250000,96,90,Kids & Family,Pete Docter,92
Nights of Cabiria,https://www.rottentomatoes.com/m/nights_of_cabiria,1957,Not Rated,10000,100,94,Drama,Federico Fellini,110
Pather Panchali,https://www.rottentomatoes.com/m/pather_panchali,1955,Not Rated,5000,98,93,Drama,Satyajit Ray,126
Meet Me in St. Louis,https://www.rottentomatoes.com/m/meet_me_in_st_louis,1944,Not Rated,25000,100,87,Musical,Vincente Minnelli,113
Witness for the Prosecution,https://www.rottentomatoes.com/m/witness_for_the_prosecution,1957,Not Rated,5000,100,95,Crime,Billy Wilder,114
Eighth Grade,https://www.rottentomatoes.com/m/eighth_grade,2018,R,5000,99,82,Comedy,Bo Burnham,93
Rebecca,https://www.rottentomatoes.com/m/1017293-rebecca,1940,Not Rated,25000,98,92,Mystery & Thriller,Alfred Hitchcock,130
Stalker,https://www.rottentomatoes.com/m/1043378-stalker,1982,TV-14,25000,100,92,Sci-Fi,Andrei Tarkovsky,163
The Terminator,https://www.rottentomatoes.com/m/terminator,1984,R,250000,100,89,Sci-Fi,James Cameron,108
Memento,https://www.rottentomatoes.com/m/memento,2000,R,250000,94,94,Mystery & Thriller,Christopher Nolan,116
The Social Network,https://www.rottentomatoes.com/m/the-social-network,2010,PG-13,100000,96,87,Drama,David Fincher,120
The Hurt Locker,https://www.rottentomatoes.com/m/the_hurt_locker,2009,R,50000,96,84,War,Kathryn Bigelow,127
12 Years a Slave,https://www.rottentomatoes.com/m/12_years_a_slave,2013,R,100000,95,90,History,Steve McQueen,134
Catch Me if You Can,https://www.rottentomatoes.com/m/catch_me_if_you_can,2002,PG-13,250000,96,89,Comedy,Steven Spielberg,140
Jaws,https://www.rottentomatoes.com/m/jaws,1975,PG,250000,97,90,Holiday,Steven Spielberg,124
A Man Escaped,https://www.rottentomatoes.com/m/a_man_escaped,1957,Not Rated,5000,100,93,Action,Robert Bresson,102
Pan's Labyrinth,https://www.rottentomatoes.com/m/pans_labyrinth,2006,R,250000,95,91,Fantasy,Guillermo del Toro,120
The Red Shoes,https://www.rottentomatoes.com/m/1017346-red_shoes,1948,Not Rated,10000,98,91,Drama,Michael Powell,133
Anatomy of a Murder,https://www.rottentomatoes.com/m/anatomy-of-a-murder,1959,Not Rated,10000,100,91,Crime,Otto Preminger,160
Das Boot,https://www.rottentomatoes.com/m/das_boot,1981,R,25000,98,96,War,Wolfgang Petersen,150
Ikiru,https://www.rottentomatoes.com/m/ikiru,1956,Not Rated,10000,98,97,Drama,Akira Kurosawa,143
Open City,https://www.rottentomatoes.com/m/open_city,1946,Not Rated,5000,100,92,Drama,Roberto Rossellini,105
Lady Bird,https://www.rottentomatoes.com/m/lady_bird,2017,R,10000,99,79,Comedy,Greta Gerwig,94
