Title,Link,Year,Rating_Classification,Total_Ratings,Average_Rating,Director,Runtime,Genre
Casablanca,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_45,1942,PG,623000,8.5,Michael Curtiz,102,Drama
The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46,1995,R,1200000,8.5,Bryan Singer,106,Gangster
The Intouchables,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_47,2011,R,959000,8.5,Olivier Nakache,112,Docudrama
Cinema Paradiso,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_48,1988,PG,295000,8.5,Giuseppe Tornatore,174,Coming-of-Age
Modern Times,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_49,1936,G,268000,8.5,Charles Chaplin,87,Slapstick
Alien,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_50,1979,R,997000,8.5,Ridley Scott,117,Cyberpunk
Rear Window,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51,1954,PG,538000,8.5,Alfred Hitchcock,112,Suspense Mystery
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_52,2024,PG-13,570000,8.5,Denis Villeneuve,166,Action Epic
Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_53,1968,PG-13,361000,8.5,Sergio Leone,166,Desert Adventure
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_54,2012,R,1800000,8.5,Quentin Tarantino,165,Dark Comedy
City Lights,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_55,1931,G,204000,8.5,Charles Chaplin,87,Feel-Good Romance
Apocalypse Now,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_56,1979,R,731000,8.4,Francis Ford Coppola,147,Adventure Epic
Memento,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_57,2000,R,1400000,8.4,Christopher Nolan,113,Psychological Thriller
WALL·E,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_58,2008,G,1200000,8.4,Andrew Stanton,98,Adventure Epic
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_59,1981,PG,1100000,8.4,Steven Spielberg,115,Adventure Epic
The Lives of Others,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_60,2006,R,422000,8.4,Florian Henckel von Donnersmarck,137,Political Thriller
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_61,2018,PG-13,1300000,8.4,Anthony Russo,149,Space Sci-Fi
12th Fail,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_62,2023,Not Rated,139000,8.8,Vidhu Vinod Chopra,147,Docudrama
Sunset Boulevard,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_63,1950,Approved,245000,8.4,Billy Wilder,110,Film Noir
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_64,2018,PG,709000,8.4,Bob Persichetti,117,Computer Animation
Paths of Glory,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_65,1957,Approved,222000,8.4,Stanley Kubrick,88,Epic
Witness for the Prosecution,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66,1957,Approved,146000,8.4,Billy Wilder,116,Legal Drama
The Shining,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_67,1980,R,1100000,8.4,Stanley Kubrick,146,Psychological Drama
The Great Dictator,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68,1940,G,245000,8.4,Charles Chaplin,125,Parody
Aliens,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_69,1986,R,797000,8.4,James Cameron,137,Alien Invasion
Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_70,2009,R,1600000,8.4,Quentin Tarantino,153,Dark Comedy
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71,2012,PG-13,1900000,8.4,Christopher Nolan,164,Action Epic
Coco,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_72,2017,PG,629000,8.4,Lee Unkrich,105,Computer Animation
Amadeus,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_73,1984,PG,442000,8.4,Milos Forman,160,Costume Drama
Toy Story,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_74,1995,G,1100000,8.3,John Lasseter,81,Buddy Comedy
Oldboy,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_75,2003,R,662000,8.3,Park Chan-wook,120,Dark Comedy
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_76,1964,PG,532000,8.3,Stanley Kubrick,95,Dark Comedy
Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_77,2019,PG-13,1300000,8.4,Anthony Russo,181,Space Sci-Fi
American Beauty,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_78,1999,R,1200000,8.3,Sam Mendes,122,Psychological Drama
Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_79,1997,R,1100000,8.3,Gus Van Sant,126,Coming-of-Age
Braveheart,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_80,1995,R,1100000,8.3,Mel Gibson,178,Costume Drama
Das Boot,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_81,1981,Not Rated,274000,8.4,Wolfgang Petersen,149,War Epic
Princess Mononoke,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82,1997,PG-13,450000,8.3,Hayao Miyazaki,133,Action Epic
Your Name.,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_83,2016,Not Rated,343000,8.4,Makoto Shinkai,106,Anime
High and Low,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_84,1963,Not Rated,58000,8.4,Akira Kurosawa,143,Police Procedural
Joker,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_85,2019,R,1600000,8.3,Todd Phillips,122,Psychological Drama
3 Idiots,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_86,2009,PG-13,450000,8.4,Rajkumar Hirani,170,Coming-of-Age
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_87,1984,R,389000,8.3,Sergio Leone,229,Dark Comedy
Singin' in the Rain,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88,1952,G,268000,8.3,Stanley Donen,103,Classic Musical
Capernaum,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_89,2018,R,113000,8.4,Nadine Labaki,126,Drama
