Title,Link,Year,Rating_Classification,Total_Ratings,Average_Rating,Director,Runtime,Genre
Gone Girl,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_193,2014,R,1100000,8.1,David Fincher,149,Erotic Thriller
Memories of Murder,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_194,2003,Not Rated,231000,8.1,Bong Joon Ho,132,Dark Comedy
In the Name of the Father,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_195,1993,R,193000,8.1,Jim Sheridan,133,Docudrama
"Monsters, Inc.",https://www.imdb.com/title/tt0198781/?ref_=chttp_t_196,2001,G,1000000,8.1,Pete Docter,92,Buddy Comedy
The Gold Rush,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_197,1925,Approved,122000,8.1,Charles Chaplin,95,Farce
Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_198,2007,G,863000,8.1,Brad Bird,111,Animal Adventure
Wild Tales,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_199,2014,R,224000,8.1,Damián Szifron,122,Dark Comedy
Maharaja,https://www.imdb.com/title/tt26548265/?ref_=chttp_t_200,2024,Not Rated,59000,8.4,Nithilan Saminathan,141,One-Person Army Action
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_201,2010,PG,827000,8.1,Dean DeBlois,98,Computer Animation
Jaws,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_202,1975,PG,683000,8.1,Steven Spielberg,124,Monster Horror
The Deer Hunter,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_203,1978,R,371000,8.1,Michael Cimino,183,Epic
Sherlock Jr.,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_204,1924,Approved,60000,8.2,Buster Keaton,45,Bumbling Detective
The General,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_205,1926,Approved,101000,8.1,Clyde Bruckman,78,Farce
Mary and Max,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_206,2009,Not Rated,193000,8.1,Adam Elliot,92,Adult Animation
On the Waterfront,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_207,1954,Approved,170000,8.1,Elia Kazan,108,Legal Drama
Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_208,2019,PG-13,507000,8.1,James Mangold,152,Docudrama
The Wages of Fear,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_209,1953,Not Rated,69000,8.1,Henri-Georges Clouzot,156,Psychological Drama
Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_210,1939,Approved,124000,8.1,Frank Capra,129,Political Drama
Wild Strawberries,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_211,1957,Not Rated,118000,8.1,Ingmar Bergman,92,Psychological Drama
The Third Man,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_212,1949,Approved,187000,8.1,Carol Reed,93,Film Noir
Logan,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_213,2017,R,873000,8.1,James Mangold,137,Dystopian Sci-Fi
Rocky,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_214,1976,PG,649000,8.1,John G. Avildsen,120,Boxing
Tokyo Story,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_215,1953,Not Rated,72000,8.1,Yasujirô Ozu,137,Psychological Drama
The Big Lebowski,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_216,1998,R,879000,8.1,Joel Coen,117,Buddy Comedy
The Seventh Seal,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_217,1957,Not Rated,205000,8.1,Ingmar Bergman,96,Psychological Drama
Spotlight,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_218,2015,R,512000,8.1,Tom McCarthy,129,Docudrama
Room,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_219,2015,R,462000,8.1,Lenny Abrahamson,118,Psychological Drama
The Terminator,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_220,1984,R,950000,8.1,James Cameron,107,Artificial Intelligence
Hotel Rwanda,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_221,2004,PG-13,380000,8.1,Terry George,121,Docudrama
Platoon,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_222,1986,R,449000,8.1,Oliver Stone,120,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_223,2003,PG-13,1200000,8.1,Gore Verbinski,143,Sea Adventure
La haine,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_224,1995,Not Rated,206000,8.1,Mathieu Kassovitz,98,Gangster
Before Sunset,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_225,2004,R,297000,8.1,Richard Linklater,80,Drama
Jai Bhim,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_226,2021,Approved,223000,8.7,T.J. Gnanavel,164,Legal Drama
The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_227,1946,Approved,73000,8.1,William Wyler,170,Epic
The Passion of Joan of Arc,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_228,1928,Approved,63000,8.1,Carl Theodor Dreyer,114,Legal Drama
The Exorcist,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_229,1973,R,470000,8.1,William Friedkin,122,Body Horror
The Wizard of Oz,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_230,1939,G,443000,8.1,Victor Fleming,102,Adventure Epic
The Incredibles,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_231,2004,PG,838000,8.0,Brad Bird,115,Computer Animation
Rush,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_232,2013,R,527000,8.1,Ron Howard,123,Docudrama
Network,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_233,1976,R,175000,8.1,Sidney Lumet,121,Dark Comedy
Stand by Me,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_234,1986,R,456000,8.1,Rob Reiner,89,Coming-of-Age
The Sound of Music,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_235,1965,G,271000,8.1,Robert Wise,172,Classic Musical
Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_236,2009,G,322000,8.1,Lasse Hallström,93,Animal Adventure
My Father and My Son,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_237,2005,Not Rated,96000,8.2,Çagan Irmak,112,Drama
The Handmaiden,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_238,2016,Not Rated,182000,8.1,Park Chan-wook,145,Dark Romance
A Man Escaped,https://www.imdb.com/title/tt0049902/?ref_=chttp_t_239,1956,Not Rated,27000,8.2,Robert Bresson,101,Prison Drama
To Be or Not to Be,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_240,1942,Approved,46000,8.1,Ernst Lubitsch,99,Screwball Comedy
The Iron Giant,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_241,1999,PG,238000,8.1,Brad Bird,86,Alien Invasion
The Battle of Algiers,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_242,1966,Not Rated,69000,8.1,Gillo Pontecorvo,121,Docudrama
Into the Wild,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_243,2007,R,671000,8.1,Sean Penn,148,Coming-of-Age
The Grapes of Wrath,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_244,1940,Approved,103000,8.1,John Ford,129,Drama
Groundhog Day,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_245,1993,PG,704000,8.0,Harold Ramis,101,Feel-Good Romance
Amores Perros,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_246,2000,R,258000,8.0,Alejandro G. Iñárritu,154,Tragedy
The Help,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_247,2011,PG-13,505000,8.1,Tate Taylor,146,Period Drama
Rebecca,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_248,1940,Approved,151000,8.1,Alfred Hitchcock,130,Dark Romance
A Silent Voice: The Movie,https://www.imdb.com/title/tt5323662/?ref_=chttp_t_249,2016,Not Rated,112000,8.1,Taichi Ishidate,130,Anime
Cool Hand Luke,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_250,1967,Approved,193000,8.0,Stuart Rosenberg,127,Prison Drama
